depth,sweep_label,direction,cutoff,metric,source_col,metric_source,seed,run_ids,value
5,Unfreeze-5,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,123.0,B0_uf5,78.912
5,Unfreeze-5,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,456.0,B0_uf5,79.092
6,Unfreeze-6,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,42.0,B0_uf6,79.172
7,Unfreeze-7,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,42.0,B0_uf7,79.208
0,Unfreeze-0 / Proj-only,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,42.0,B0_projonly,83.212
0,Unfreeze-0 / Proj-only,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,456.0,B0_projonly,83.32000000000001
1,Unfreeze-1,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,456.0,B0_uf1,83.296
2,Unfreeze-2,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,123.0,B0_uf2,83.356
2,Unfreeze-2,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,456.0,B0_uf2,83.104
3,Unfreeze-3,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,42.0,B0_uf3,83.232
3,Unfreeze-3,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,123.0,B0_uf3,83.06
3,Unfreeze-3,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,456.0,B0_uf3,83.32000000000001
4,Unfreeze-4 / Base-min,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,42.0,B0,86.74
4,Unfreeze-4 / Base-min,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,123.0,B0,86.79599999999999
4,Unfreeze-4 / Base-min,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,456.0,B0,86.724
5,Unfreeze-5,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,42.0,B0_uf5,86.9
5,Unfreeze-5,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,123.0,B0_uf5,87.016
5,Unfreeze-5,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,456.0,B0_uf5,87.032
6,Unfreeze-6,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,42.0,B0_uf6,86.988
7,Unfreeze-7,t2i,10,R@10,summary/test/coco_5k_r10_t2i,summary_test,42.0,B0_uf7,87.116
